# command: python3 c4min_hunt_run.py ../results/k4_certs_6_n4_1.json.gz --jobs=3 --ckpt=../results/k4_c4min_hunt_n6_1.ckpt
# commit bf2f6af, k4/c4min_hunt.c sha1 60fbc9be5f85, started Fri Sep 25 23:37:09 UTC 2026
core 327 m 6 profiles 2239488 fails 0 solved 14150 secs 0.1
core 328 m 6 profiles 2239488 fails 0 solved 13049 secs 0.1
core 329 m 6 profiles 2239488 fails 0 solved 13458 secs 0.1
core 330 m 6 profiles 2239488 fails 0 solved 13577 secs 0.1
core 331 m 6 profiles 2239488 fails 0 solved 15453 secs 0.1
core 332 m 6 profiles 2239488 fails 0 solved 13207 secs 0.1
core 333 m 6 profiles 2239488 fails 0 solved 12258 secs 0.0
core 334 m 6 profiles 2239488 fails 0 solved 15482 secs 0.1
core 335 m 6 profiles 2239488 fails 0 solved 16287 secs 0.1
core 336 m 6 profiles 2239488 fails 0 solved 14575 secs 0.1
core 337 m 6 profiles 2239488 fails 0 solved 13227 secs 0.1
core 338 m 6 profiles 2239488 fails 0 solved 15861 secs 0.1
core 339 m 6 profiles 2239488 fails 0 solved 12170 secs 0.1
core 340 m 6 profiles 2239488 fails 0 solved 15895 secs 0.1
core 341 m 6 profiles 2239488 fails 0 solved 8800 secs 0.1
core 342 m 6 profiles 2239488 fails 0 solved 13488 secs 0.1
core 343 m 6 profiles 2239488 fails 0 solved 8997 secs 0.0
core 344 m 6 profiles 2239488 fails 0 solved 13920 secs 0.1
core 345 m 6 profiles 2239488 fails 0 solved 14169 secs 0.1
core 346 m 6 profiles 2239488 fails 0 solved 16225 secs 0.1
core 347 m 6 profiles 2239488 fails 0 solved 11282 secs 0.1
core 348 m 6 profiles 2239488 fails 0 solved 13941 secs 0.1
core 349 m 6 profiles 2239488 fails 0 solved 16240 secs 0.1
core 350 m 6 profiles 2239488 fails 0 solved 14260 secs 0.1
core 351 m 6 profiles 2239488 fails 0 solved 17085 secs 0.1
core 352 m 6 profiles 2239488 fails 0 solved 10858 secs 0.1
core 353 m 6 profiles 2239488 fails 0 solved 8941 secs 0.1
core 354 m 6 profiles 2239488 fails 0 solved 13147 secs 0.1
core 355 m 6 profiles 2239488 fails 0 solved 15264 secs 0.1
core 356 m 6 profiles 2239488 fails 0 solved 11689 secs 0.1
core 357 m 6 profiles 2239488 fails 0 solved 13628 secs 0.1
core 358 m 6 profiles 2239488 fails 0 solved 11267 secs 0.1
core 359 m 6 profiles 2239488 fails 0 solved 13937 secs 0.1
core 360 m 6 profiles 2239488 fails 0 solved 13511 secs 0.1
core 361 m 6 profiles 2239488 fails 0 solved 10898 secs 0.0
