# pass 1: $ cd k4 && python3 mincex_cert.py ../results/k4_min_cex_shapes_4.json.gz OUT --jobs=3 --timeout=30   (search4.py scanner; stopped after 2,463 cores and resumed in pass 2)
5558 cores, 0 in the checkpoint, 5558 to run
n = 5, m = 10, kinds P4P4P4Q3Q3, 859963392 profiles: 137 allocations, 0 D2 failures, 1.6 s
n = 5, m = 10, kinds P4P4Q3P4Q3, 859963392 profiles: 120 allocations, 0 D2 failures, 1.5 s
n = 5, m = 10, kinds P4P4Q3Q3P4, 859963392 profiles: 104 allocations, 0 D2 failures, 1.3 s
n = 5, m = 10, kinds P4Q3Q3P4P4, 859963392 profiles: 115 allocations, 0 D2 failures, 1.2 s
n = 5, m = 10, kinds Q3P4P4P4Q3, 859963392 profiles: 128 allocations, 0 D2 failures, 1.8 s
n = 5, m = 10, kinds Q3P4Q3P4P4, 859963392 profiles: 121 allocations, 0 D2 failures, 2.3 s
n = 5, m = 12, kinds P4P4P4P4P4, 1981355655168 profiles: timeout (30 s)
n = 5, m = 11, kinds P4Q3P4P4P4, 41278242816 profiles: timeout (30 s)
n = 5, m = 11, kinds P4P4P4P4Q3, 41278242816 profiles: 211 allocations, 0 D2 failures, 20.3 s
n = 5, m = 11, kinds Q3P4P4P4P4, 41278242816 profiles: 229 allocations, 0 D2 failures, 26.9 s
n = 5, m = 10, kinds P3Q4P4P4Q3, 4976640 profiles: 24 allocations, 0 D2 failures, 0.2 s
