# command: python3 c4min_hunt_run.py ../results/k4_certs_5_n4_3.json.gz --jobs=3 --ckpt=../results/k4_c4min_hunt_n5_3.ckpt
# commit 4127f70, k4/c4min_hunt.c sha1 9c7ca0ffe25b, started Fri Sep 25 21:19:13 UTC 2026
core 367 m 7 profiles 429981696 fails 0 solved 66372 secs 2.3
core 368 m 7 profiles 429981696 fails 0 solved 53413 secs 2.4
core 369 m 7 profiles 429981696 fails 0 solved 60740 secs 2.3
core 370 m 7 profiles 429981696 fails 0 solved 53400 secs 2.0
core 371 m 7 profiles 429981696 fails 0 solved 46120 secs 2.3
core 372 m 7 profiles 429981696 fails 0 solved 57883 secs 2.4
core 373 m 7 profiles 429981696 fails 0 solved 54486 secs 2.3
core 374 m 7 profiles 429981696 fails 0 solved 51196 secs 2.2
core 375 m 7 profiles 429981696 fails 0 solved 55670 secs 2.1
core 376 m 7 profiles 429981696 fails 0 solved 51128 secs 2.3
core 377 m 7 profiles 429981696 fails 0 solved 47994 secs 2.8
core 378 m 7 profiles 429981696 fails 0 solved 63026 secs 2.7
core 379 m 7 profiles 429981696 fails 0 solved 56072 secs 2.4
core 380 m 7 profiles 429981696 fails 0 solved 57614 secs 2.6
core 381 m 7 profiles 429981696 fails 0 solved 49071 secs 2.3
core 382 m 7 profiles 429981696 fails 0 solved 51150 secs 2.8
